sweet_potato_nachos,pitas,pasta_salad_with_feta,rocket_pear_salad_with_chèvre_and_beef,steak_with_greek_salad,chili_con_carne_with_baby_chili,saganaki_with_greek_salad,sweet_potato_salad_with_lamb_cutlets,caprese_pasta,falafel_halloumi_buddha_bowl_with_hummous,spaghetti_bolognaise,nam_tok_nuer,lentil_curry_with_naan,spanish_tomato_stew,cypriot_greek_grain_salad_with_lamb_cutlets,lemongrass_beef,fish_and_butter_sauce,bibimbap,fatteh,nachos,dumplings_and_asian_greens,hamburger
Sweet_potato,Pita_pockets,Red_pepper,Rocket,Scotch_fillet,Baby_chili,Feta,Sweet_potato,Mozzarella,Falafel,Mince,Scotch_fillet,Brown_precooked_lentils,Potatoes,Greek_Yogurt,Scotch_fillet,Salmon,Carrot,Pita_pockets,Tortilla_chips,Gai_Lan_leaves,Hamburger_buns
Tortilla_chips,Red_onion,Rocket,Scotch_fillet,Red_onion,Diced_tomatoes,Tomato,Feta,Tomatoes,Cucumber,Diced_tomatoes,Tomatoes,Diced_tomatoes,White_onion,Pomegranate,Cucumber,Egg,Cucumber,Parsley_bunch,Mince,Ginger_paste,Cheese_slice
Sour_cream,Green_pepper,Red_onion,Pear,Cucumber,Sour_cream,Cucumber,Rocket,Fresh_basil,Baby_spinach,Carrot,Red_onion,Plain_yogurt,Diced_tomatoes,Coriander_bunch,Bean_shoots,Garlic_paste,Egg,Plain_yogurt,White_onion,Garlic_paste,Tomato
Diced_tomatoes,Feta,Feta,Chevre,Tomato,Red_pepper,Red_onion,Baby_spinach,Garlic_cloves,Halloumi,White_onion,Cucumber,Cauliflower,Red_pepper,Red_onion,Mint_bunch,Parsley_bunch,Iceberg_lettuce,Chickpeas_,Garlic_paste,,Iceberg_lettuce
Red_pepper,Halloumi,,,Feta,Red_onion,Halloumi,Lamb_cutlets,Pine_nuts_,Hummous,,Coriander_bunch,Garlic_naan,Garlic_cloves,Parsley_bunch,Coriander_bunch,Potatoes,Microwave_white_rice,,Avocado,,White_onion
,,,,,Avocado,,,Lemon_cress_/_pea_shoots_,,,Mint_bunch,White_onion,Chorizo,Lamb_cutlets,,Carrot,Precut_Pork_belly,,Red_onion,,
,,,,,Mince,,,,,,,Coriander_bunch,Crusty_bread_(french_style),,,Peas,Garlic_paste,,Tomatoes,,
,,,,,Iceberg_lettuce,,,,,,,,,,,,,,Coriander_Bunch,,
,,,,,Red_beans_,,,,,,,,,,,,,,,,
